Username,Paket Internet,Total Online (detik),Total Kuota (bytes),Nama Paket,Wilayah Pemasaran,Wilayah (Mapping Alamat),Kecepatan,Harga (Rp),Implicit Rating
fiqih@jambu,ACS Lite 150,0.035487088348517826,0.005930345182368422,ACS Lite 150,"PWS, Sudirman, Tigaraksa",,10.0,150000,0.020708716765443124
flavianus@pws,ACS Lite 165,0.4820990849941889,0.09013157894736842,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.28611533197077865
hombung@pws,ACS Lite 130,0.43231544084606055,0.02592105263157895,ACS Lite 130,"PWS, Sudirman, Tigaraksa",,6.0,130000,0.22911824673881975
hoskiya2@pws,ACS Lite 150,0.0,0.0,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.0
hoskiya@pws,ACS Lite 150,0.0,0.0,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.0
icis@pws,ACS Pws 150 7Mbps,0.44143987409240143,0.044013157894736844,ACS Pws 150 7Mbps,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",7.0,150000,0.24272651599356915
imron25@pws,ACS Pws 140 5Mbps,0.4995273408415779,0.045526315789473686,ACS Pws 140 5Mbps,"PWS, Sudirman, Tigaraksa",,5.0,140000,0.27252682831552577
indriani@pws,ACS Lite 165,0.44134290960695965,0.10131578947368422,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.27132934954032195
irmarosmayanti.d5no21,ACSPINANG 165,0.30093799302238367,0.01348684210526316,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.15721241756382343
jaha@randigunawan,ACSPINANG 330,0.4369234063931234,0.09736842105263159,ACSPINANG 330,"Pinang, Pabuaran, Katomas, Leuwihalu",,50.0,330000,0.2671459137228775
jonathan@pws,ACS Lite 150,0.4649155295149233,0.07631578947368421,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.2706156594943038
kdu@aaljayamobilindo,ACSPINANG 165,0.43521754211224317,0.031447368421052634,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.2333324552666479
kdu@adenia,ACSPINANG 165,0.4351964272242928,0.04960526315789474,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.24240084519109378
kdu@subekan,ACS Home 165,0.005713798012111882,0.000379704073881579,ACS Home 165,"PWS, Sudirman, Tigaraksa",,10.0,165000,0.00304675104299673
kevinbela@pws,ACS Lite 100,0.44272330394833365,0.03947368421052632,ACS Lite 100,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",4.0,100000,0.24109849407943
ktm@aceng,ACSPINANG 165,0.4342191974101257,0.1111842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.27270170396822074
ktm@dianasari,ACSPINANG 165,0.43691998974458773,0.15263157894736842,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.29477578434597806
ktm@fahrurozi,ACSPINANG 165,0.4364299056786338,0.05039473684210527,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.24341232126036955
ktm@imas,ACSPINANG 165,0.43326417581144033,0.07302631578947369,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.253145245800457
ktm@mala,ACS Home 165,0.04460168164707606,0.003193894933026316,ACS Home 165,"PWS, Sudirman, Tigaraksa","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.023897788290051188
ktm@meliyaekacahya,ACSPINANG 165,0.06652952694997698,0.0045962745712500004,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.03556290076061349
ktm@mutiaranurul,ACSPINANG 165,0.1979696361077977,0.02598684210526316,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.11197823910653043
ktm@nurhayati,ACS Home 165,0.04078842854940583,0.013947368421052634,ACS Home 165,"PWS, Sudirman, Tigaraksa","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.02736789848522923
ktm@rinamariana,ACSPINANG 165,0.4192816783452269,0.0505921052631579,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2349368918041924
ktm@saripudin.isep,ACSPINANG 165,0.4361748186989621,0.08552631578947369,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2608505672442179
ktm@sefrihardiansyah,ACSPINANG 165,0.4366245179792245,0.10131578947368422,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2689701537264544
ktm@uda.epi,ACSPINANG 165,0.4370866538601568,0.09078947368421053,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.26393806377218365
ktm@usni,ACSPINANG 165,0.4366143363665883,0.05552631578947369,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.246070326078031
latifah@pws,ACS Pws 150 7Mbps,0.4539521193607532,0.05315789473684211,ACS Pws 150 7Mbps,"PWS, Sudirman, Tigaraksa",,7.0,150000,0.25355500704879763
leuwihalu@adehermawan,ACSPINANG 165,0.4309381214883686,0.07105263157894738,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.250995376533658
leuwihalu@despisitinuraeni,ACSPINANG 165,0.006481450605102122,6.151626973684211e-07,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.003241032883899745
leuwihalu@feriharfanto,ACSPINANG 165,0.15054525610650757,0.018947368421052633,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.0847463122637801
leuwihalu@hancemarlina,ACSPINANG 250,0.4369502612506136,0.13947368421052633,ACSPINANG 250,"Pinang, Pabuaran, Katomas, Leuwihalu",,30.0,250000,0.28821197273057
leuwihalu@hsubandrio,ACSPINANG 165,0.025890200942666995,0.0051256186038815795,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.015507909773274287
leuwihalu@hsubandrio2,ACSPINANG 165,0.025829931262498097,2.5481038815789477e-06,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.012916239683189838
leuwihalu@ibnuhasan,ACSPINANG 165,0.225701410611181,0.012631578947368423,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.11916649477927471
leuwihalu@iksanurjati,ACSPINANG 165,0.4333431687255846,0.056315789473684215,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.2448294790996344
leuwihalu@maulanafadli,ACSPINANG 165,0.0,0.0,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.0
leuwihalu@mega,ACS Home 165,0.4334217516419046,0.026710526315789476,ACS Home 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,165000,0.23006613897884703
leuwihalu@nurlia,ACSPINANG 165,0.04960468009783094,0.003429506244144737,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.02651709317098784
leuwihalu@pepenharyanto,ACSPINANG 165,0.4369266180427469,0.11578947368421054,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.27635804586347873
leuwihalu@reskiamelia,ACSPINANG 165,0.40590467933250163,0.0443421052631579,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.22512339229782977
leuwihalu@suhernih,ACSPINANG 165,0.39767937131480285,0.10263157894736843,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.25015547513108566
leuwihalu@suwilan,ACSPINANG 165,0.43255542623920473,0.07894736842105264,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.2557513973301287
leuwihalu@vennijunianti,ACSPINANG 165,0.43249009991920306,0.05342105263157895,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.242955576275391
lewihalu@lilianugrah,ACSPINANG 165,0.43011450419236436,0.06973684210526317,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.24992567314881375
lewihalu@sitihamimah,ACSPINANG 165,0.034466057100123654,0.00231461455125,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.018390335825686825
mama_tia@pws,ACS Lite 165,0.4982435693207921,0.07236842105263158,ACS Lite 165,"PWS, Sudirman, Tigaraksa",,15.0,165000,0.28530599518671185
mangculay@pws,ACS Lite 165,0.0,0.0,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.0
mgs0203@holik,ACS Lite 165,0.4668712191367304,0.04355263157894737,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.2552119253578389
mgs0203@inayah,ACS Lite 165,0.04290183066761859,0.0031388902813157898,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.023020360474467188
mgs0203@yanto,ACS Lite 165,0.8970844644717751,0.10986842105263159,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.5034764427622034
mgs@rt01nuraniah03,ACS Lite 165,0.49312180816693796,0.08815789473684212,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.29063985145189003
mgs@rt02nobon03,ACS Home 165,0.10270787163022788,0.002272467089934211,ACS Home 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,165000,0.052490169360081045
mgs@rt03aldo03,ACS Lite 165,0.46483612660295476,0.0618421052631579,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.2633391159330563
mgs@rt03mulyatim03,ACS Lite 165,0.44489854740504176,0.05710526315789474,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.25100190528146826
midahdelima2@pws,ACS Lite 150,0.0,0.0,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.0
mulyana,ACS Lite 100,0.44689701346651517,0.03914473684210527,ACS Lite 100,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",4.0,100000,0.24302087515431023
mutiara@belimbing,ACS Lite 150,0.44062732673765276,0.05526315789473685,ACS Lite 150,"PWS, Sudirman, Tigaraksa",,10.0,150000,0.2479452423161948
naniciung@pws,ACS Lite 150,0.499310861990359,0.05473684210526316,ACS Lite 150,"PWS, Sudirman, Tigaraksa",,10.0,150000,0.2770238520478111
nanioman@pws,ACS Lite 100,0.49974853466777597,0.08355263157894738,ACS Lite 100,"PWS, Sudirman, Tigaraksa",,4.0,100000,0.2916505831233617
nur@pws,ACS Lite 100,0.48035515924862154,0.029078947368421055,ACS Lite 100,"PWS, Sudirman, Tigaraksa",,4.0,100000,0.2547170533085213
nurlaila2@pws,ACS Lite 165,0.4400846946172205,0.04256578947368422,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.24132524204545236
octavia@pws,ACS Lite 150,0.4381616681554143,0.022500000000000003,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.23033083407770716
pbr@aepsaepudin,ACSPINANG 250,0.43695846120709914,0.07894736842105264,ACSPINANG 250,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",30.0,250000,0.2579529148140759
pbr@albaraaceh,ACSPINANG 330,0.4368086070023255,0.1236842105263158,ACSPINANG 330,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",50.0,330000,0.28024640876432066
pbr@amaludin,ACSPINANG 165,0.4359455615822198,0.17500000000000002,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.3054727807911099
pbr@anissuhadi,ACSPINANG 165,0.4369350913311153,0.07565789473684212,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2562964930339787
pbr@bara2,ACSPINANG 250,0.43689463821245317,0.017631578947368422,ACSPINANG 250,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",30.0,250000,0.2272631085799108
pbr@boncu,ACSPINANG 165,0.4370421007632519,0.029802631578947372,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.23342236617109963
pbr@cholidmawardi,ACSPINANG 250,0.4366685927453345,0.09078947368421053,ACSPINANG 250,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",30.0,250000,0.2637290332147725
pbr@dhanu,ACSPINANG 165,0.3663899773571868,0.06710526315789474,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.21674762025754077
pbr@dinaapriani,ACSPINANG 165,0.43529469003617816,0.10065789473684211,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2679762923865101
pbr@ekamutiara,ACSPINANG 165,0.43660312975939136,0.08157894736842106,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.2590910385639062
pbr@emimariahardi,ACSPINANG 165,0.43488674220102136,0.09210526315789475,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.26349600267945805
pbr@erwanbiomeh,ACSPINANG 220,0.43309348005059917,0.1243421052631579,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",20.0,220000,0.2787177926568785
pbr@firacaffe,ACSPINANG 330,0.43215561002756275,0.13421052631578947,ACSPINANG 330,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",50.0,330000,0.2831830681716761
pbr@firmansahroni,ACSPINANG 165,0.43488243722386644,0.11907894736842106,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.27698069229614375
pbr@h.sobri,ACSPINANG 165,0.02346151049758429,0.0008790903995394738,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.012170300448561882
pbr@haerudin,ACSPINANG 165,0.4365655466254992,0.07236842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2544669838390654
pbr@hasan,ACSPINANG 165,0.4299773599201433,0.04111842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.23554789048638744
pbr@hollil,ACSPINANG 165,0.4370513940472689,0.37697368421052635,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.4070125391288976
pbr@ilhamseafood,ACSPINANG 220,0.035747300300993066,0.005900677449210526,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.020823988875101798
pbr@indrasusila,ACSPINANG 165,0.37962142714229324,0.11315789473684211,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.24638966093956768
pbr@jokosupando,ACSPINANG 220,0.4369721278012418,0.0543421052631579,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.24565711653219985
pbr@karlesjamu,ACSPINANG 165,0.34504282563940525,0.03289473684210527,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.18896878124075525
pbr@komarudin,ACSPINANG 165,0.2855843944988132,0.03493421052631579,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.16025930251256448
pbr@m.rifliansyah,ACSPINANG 165,0.43546975910714497,0.14473684210526316,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.29010330060620404
pbr@mardiah,ACSPINANG 165,0.4367283840947084,0.029210526315789475,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.23296945520524892
pbr@mira,ACSPINANG 220,0.4369913976989828,0.05164473684210527,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu",,20.0,220000,0.24431806727054406
pbr@muhammadajijih,ACSPINANG 165,0.19898192073594062,0.01236842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.1056751708942861
pbr@nartoaling,ACSPINANG 165,0.43667959435361925,0.18026315789473685,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.3084713761241781
pbr@oktaviadivpc,ACSPINANG 220,0.4366582061337861,0.055921052631578955,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.2462896293826825
pbr@ramdanijait,ACSPINANG 220,0.4367393173700225,0.13881578947368423,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.28777755342185335
pbr@ridwardsaragih.tbb,ACSPINANG 330,0.430915639941004,0.18947368421052632,ACSPINANG 330,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",50.0,330000,0.3101946620757652
pbr@rizal,ACSPINANG 165,0.4335461176486023,0.08355263157894738,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2585493746137748
pbr@robisusilo,ACSPINANG 165,0.18897401051125087,0.010723684210526318,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.0998488473608886
pbr@salsadwiagustin,ACSPINANG 165,0.43186464823826665,0.07171052631578947,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.25178758727702805
pbr@sanah,ACSPINANG 165,0.07594451198778972,0.016381578947368424,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.04616304546757907
pbr@supendi,ACSPINANG 165,0.43712129867630833,0.07105263157894738,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.25408696512762785
pbr@surazbengkel,ACSPINANG 220,0.4370023309742969,0.034210526315789476,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu",,20.0,220000,0.2356064286450432
pbr@suryanur,ACSPINANG 165,0.4362122651669128,0.07697368421052632,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.25659297468871956
pbr@yayah,ACSPINANG 220,0.43707688224534486,0.4289473684210527,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.43301212533319877
pinang@achmadrizki,ACSPINANG 165,0.4369719228023296,0.038026315789473686,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.23749911929590165
pinang@acip,ACSPINANG 165,0.0438129824991062,2.5473151315789476e-07,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.02190661861530968
pinang@adha,ACSPINANG 220,0.19426838074912614,0.05342105263157895,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.12384471669035255
pinang@aditia,ACSPINANG 165,0.4370211908742137,6.259055263157895e-06,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.21851372496473842
pinang@agung,ACSPINANG 250,0.06228611780166819,0.02361842105263158,ACSPINANG 250,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",30.0,250000,0.042952269427149886
pinang@agusjempol,ACSPINANG 165,0.43682316192508736,0.1986842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.31775368622570155
